name,baseMean,baseMeanControl,baseMeanMetal,foldChange,logFC,logCPM,PValue,FDR,control_gill,control_intestine,control_kidney,control_liver,metal_gill,metal_intestine,metal_kidney,metal_liver
ENSSTUE00000300312,11,10,12,1.24182991793781,0.312467594371285,4.42009558788439,0.607048112176363,1,10,5,9,16,8,15,11,14
ENSSTUE00000466526,17.875,15.75,20,1.24165406546754,0.312263283420292,5.04980817554163,0.575156481391947,1,18,12,23,10,17,31,22,10
ENSSTUE00000538918,9,7.75,10.25,1.24152435564839,0.312112563913858,4.20079186356652,0.501283159261258,1,8,5,12,6,9,14,6,12
ENSSTUE00000025737,32.125,28.75,35.5,1.2413469486903,0.311906396047928,5.79524994777238,0.84257699613964,1,0,17,26,72,0,22,54,66
ENSSTUE00000546831,259.875,231.75,288,1.24111243557261,0.311633818848836,8.76149219627033,0.794828790659381,1,74,602,228,23,84,795,240,33
ENSSTUE00000097272,21.5,19.5,23.5,1.24107581200426,0.31159124621923,5.27712245715782,0.623250006928428,1,18,19,14,27,19,8,36,31
ENSSTUE00000011758,9.125,8.25,10,1.24106788457716,0.311582030910879,4.20487252143546,0.715941157056769,1,10,15,4,4,14,17,6,3
ENSSTUE00000252742,10.875,10,11.75,1.24101027526805,0.311515060687356,4.40326279052888,0.632843807527939,1,14,8,4,14,12,14,14,7
ENSSTUE00000535040,9,8,10,1.2409894804558,0.311490886170462,4.20308956546251,0.585849964154965,1,13,3,8,8,15,7,9,9
ENSSTUE00000569390,21.375,19.25,23.5,1.24068050189946,0.311131642728396,5.23585183595108,0.789036058669486,1,5,18,3,51,4,24,12,54
ENSSTUE00000245497,49,43.75,54.25,1.24067823291426,0.311129004291924,6.39102344536021,0.652550146028668,1,34,53,14,74,62,35,33,87
ENSSTUE00000619925,25.375,22.5,28.25,1.24067565787067,0.311126009956748,5.50920274295613,0.791756340890544,1,5,67,14,4,5,82,19,7
ENSSTUE00000100567,55.375,49.5,61.25,1.24053140463362,0.310958258193414,6.57766362094079,0.664972200115081,1,51,85,44,18,64,102,60,19
ENSSTUE00000261265,64.25,57.25,71.25,1.24036337633142,0.310762833864628,6.77802988397055,0.557760531680535,1,79,37,72,41,74,80,67,64
ENSSTUE00000106485,36.75,32.75,40.75,1.24003536167054,0.310381262047082,6.02121684484633,0.823651317220042,1,15,4,108,4,14,9,137,3
ENSSTUE00000164131,90.625,80.75,100.5,1.24002921988587,0.310374116489377,7.26011870562798,0.587824467312312,1,69,112,76,66,96,152,67,87
ENSSTUE00000077685,12.5,11.25,13.75,1.24001506168114,0.310357644225632,4.57706289134132,0.646998948569679,1,17,16,4,8,24,12,10,9
ENSSTUE00000220846,11.125,9.75,12.5,1.23985421078523,0.310170490174611,4.46130657798323,0.556137132535759,1,18,6,7,8,13,11,17,9
ENSSTUE00000250989,41.25,36.75,45.75,1.23980868630534,0.310117516892264,6.16727009089534,0.669544495046898,1,22,58,53,14,42,68,59,14
ENSSTUE00000420239,25.5,23,28,1.23975652987866,0.310056824140456,5.50739716040508,0.628930313236379,1,16,30,15,31,16,51,26,19
ENSSTUE00000183238,18.75,16.5,21,1.23974960171152,0.310048761863662,5.11242660591688,0.48244937889333,1,18,13,21,14,24,16,20,24
ENSSTUE00000220936,31.375,27.75,35,1.23971251229187,0.310005600307368,5.79273583523398,0.548593973860217,1,18,36,39,18,29,47,29,35
ENSSTUE00000587194,21.5,19.25,23.75,1.23965466393753,0.309938278665981,5.28602501663847,0.611047519977146,1,21,10,23,23,25,9,33,28
ENSSTUE00000614557,12.125,10.75,13.5,1.23954435793597,0.309809900169434,4.56088435410431,0.477349927207316,1,11,13,13,6,18,10,14,12
ENSSTUE00000357310,21.625,19.25,24,1.23937260134202,0.309609980292492,5.30546255265473,0.704873327846547,1,8,39,20,10,14,54,21,7
ENSSTUE00000616973,15,13.25,16.75,1.23935930557668,0.309594503237744,4.80354615738251,0.47374046607614,1,12,15,16,10,11,16,19,21
ENSSTUE00000103574,30,26.75,33.25,1.23928713723329,0.309510492134462,5.73248202564687,0.664199140929822,1,62,20,11,14,38,46,32,17
ENSSTUE00000022485,29,25.75,32.25,1.23904052550681,0.309223374719488,5.67104234075585,0.599423075066083,1,15,29,24,35,28,25,17,59
ENSSTUE00000056401,27.125,24,30.25,1.23898426530262,0.309157865836846,5.59927044521729,0.596091873136423,1,36,13,37,10,30,25,35,31
ENSSTUE00000559518,15.25,13.75,16.75,1.23883991120328,0.308989767595291,4.84427353167141,0.554145117440916,1,17,10,9,19,13,20,20,14
ENSSTUE00000264940,9.75,8.75,10.75,1.23879141332259,0.308933288125334,4.32091754949291,0.774386703494932,1,10,1,22,2,12,6,22,3
ENSSTUE00000466201,12.375,11,13.75,1.23876466586316,0.308902137728858,4.57190629039089,0.488269622322306,1,10,16,12,6,15,10,16,14
ENSSTUE00000435873,33.625,29.75,37.5,1.23854058100864,0.308641139525555,5.88398058660242,0.519926941976173,1,34,28,36,21,47,33,40,30
ENSSTUE00000583995,16,14.25,17.75,1.23852460598361,0.308622531142126,4.93029348860377,0.799824635140401,1,35,16,6,0,42,10,17,2
ENSSTUE00000490371,20.125,17.75,22.5,1.2383309144077,0.3083968919199,5.19223438177906,0.634503171653573,1,10,31,22,8,18,37,11,24
ENSSTUE00000091801,23.625,21,26.25,1.23833086380129,0.308396832961814,5.39908210333459,0.522556139589293,1,24,23,23,14,22,30,32,21
ENSSTUE00000592791,17.75,16,19.5,1.23832786766458,0.308393342362547,5.01605589693027,0.581587861516433,1,21,15,14,14,28,25,16,9
ENSSTUE00000419790,10.625,9.5,11.75,1.23829303886749,0.308352765031788,4.34631461040269,0.85485616802646,1,0,2,11,25,0,5,16,26
ENSSTUE00000354238,12.875,11.75,14,1.2381493956073,0.308185401222732,4.61179409839092,0.638858371848034,1,8,19,4,16,16,15,8,17
ENSSTUE00000165181,45.375,40.25,50.5,1.23807303397886,0.30809642170185,6.29244518305609,0.572255240488086,1,38,65,29,29,39,70,37,56
ENSSTUE00000337322,134.125,119.75,148.5,1.23782886097746,0.30781186504789,7.81403960277447,0.627897108656608,1,110,188,91,90,136,227,80,151
ENSSTUE00000483850,14,12.5,15.5,1.237731817416,0.307698755911717,4.75546543368189,0.707411211010582,1,26,15,7,2,25,17,17,3
ENSSTUE00000598670,196.625,175.75,217.5,1.23769089943903,0.307651061300148,8.35950169468866,0.676895307700047,1,100,349,112,142,186,371,108,205
ENSSTUE00000102464,23.125,20.5,25.75,1.2373697813815,0.307276706493154,5.36751926143955,0.510385946121645,1,28,25,17,12,30,27,20,26
ENSSTUE00000149387,46.75,41.75,51.75,1.237296429351,0.307191180121789,6.34416025807259,0.886925112242757,1,16,2,149,0,18,0,189,0
ENSSTUE00000395109,15.125,13.5,16.75,1.23725311385131,0.307140673105855,4.84253429652237,0.695752612745639,1,31,5,14,4,24,9,27,7
ENSSTUE00000086629,21.625,19.5,23.75,1.23715921841242,0.307031182474608,5.29120312363546,0.515918577705066,1,21,19,15,23,25,28,23,19
ENSSTUE00000124318,16.5,14.75,18.25,1.23715156007777,0.30702225179257,4.93934667595456,0.597498824662887,1,19,13,11,16,19,7,28,19
ENSSTUE00000588871,7.25,6.5,8,1.23710738587067,0.306970737451573,4.00559270106537,0.790479797989975,1,8,5,13,0,19,2,11,0
ENSSTUE00000132274,10.5,9.5,11.5,1.23709818912008,0.306960012306815,4.38090055110894,0.595979995696471,1,9,5,16,8,17,7,15,7
ENSSTUE00000119150,55.75,50,61.5,1.23690061889617,0.306729588927521,6.57661406961489,0.721447102344288,1,34,100,23,43,22,159,22,43
ENSSTUE00000627145,26.75,24,29.5,1.23685639603381,0.306678007382654,5.53511969946955,0.908108756680023,1,0,0,14,82,0,0,38,80
ENSSTUE00000467732,12.25,11,13.5,1.23682977302315,0.306646953414741,4.58836203477656,0.749449414041051,1,21,15,8,0,28,10,11,5
ENSSTUE00000042189,28.875,25.75,32,1.23681178260442,0.306625968411619,5.65245973951537,0.745798452884305,1,8,31,6,58,18,27,10,73
ENSSTUE00000002928,196.5,175.75,217.25,1.23680925379367,0.306623018644719,8.35153469230671,0.868088742782764,1,47,4,23,629,37,1,11,820
ENSSTUE00000496115,46.25,41.25,51.25,1.23674192424505,0.30654447892677,6.32953856537921,0.67416660480133,1,21,64,61,19,32,102,40,31
ENSSTUE00000304982,12.75,11.5,14,1.2367255372823,0.306525362936555,4.62822871702252,0.500453472526534,1,11,12,11,12,17,16,13,10
ENSSTUE00000264161,10.75,9.25,12.25,1.23652970972458,0.306296903340786,4.4072241710277,0.599845229907996,1,8,8,19,2,11,15,9,14
ENSSTUE00000503355,124.125,111,137.25,1.23651046974818,0.306274455328202,7.70376020745769,0.889974664995938,1,1,346,2,95,0,485,1,63
ENSSTUE00000378411,12.5,11,14,1.23649006132594,0.306250643663629,4.60242175685776,0.718333473428831,1,16,4,20,4,14,6,29,7
ENSSTUE00000193462,7.375,6.5,8.25,1.23632068915985,0.306053012377517,3.98925333288044,0.578673499463932,1,8,7,9,2,12,10,6,5
ENSSTUE00000612117,54.125,48.5,59.75,1.23610991398725,0.305807032331321,6.53855757465845,0.613123690058779,1,59,44,33,58,92,37,34,76
ENSSTUE00000034146,46.25,41.25,51.25,1.23599403605477,0.305671781935679,6.33238551566348,0.847210706101767,1,150,4,11,0,138,45,20,2
ENSSTUE00000438624,18.75,16.5,21,1.23596158936374,0.305633908537174,5.10729317796074,0.489868231323978,1,15,22,21,8,20,24,19,21
ENSSTUE00000312861,28.25,25.25,31.25,1.23593218053592,0.305599580225363,5.63867380109333,0.69442359393379,1,20,44,8,29,18,68,18,21
ENSSTUE00000093433,22,19.5,24.5,1.23587879530333,0.305537262668658,5.31999391496858,0.558332122953946,1,20,12,32,14,25,19,24,30
ENSSTUE00000123347,9.5,8.5,10.5,1.23567034861006,0.305293913259941,4.29307383844189,0.769483433704549,1,17,13,4,0,15,19,5,3
ENSSTUE00000590736,22.125,19.75,24.5,1.23560750996352,0.305220544736497,5.33091874434628,0.638109588044741,1,33,10,28,8,31,13,38,16
ENSSTUE00000206420,44.25,39.25,49.25,1.23553253268475,0.305132998627059,6.25277075176143,0.535890021827895,1,41,48,37,31,41,63,39,54
ENSSTUE00000428972,112.25,100.25,124.25,1.23547461244025,0.305065365273847,7.56721681201559,0.728202200417822,1,57,94,229,21,125,153,189,30
ENSSTUE00000045419,12.625,11.75,13.5,1.23539679133603,0.304974488734504,4.60758380373288,0.716146338321749,1,9,11,4,23,10,16,16,12
ENSSTUE00000308986,23.125,20.5,25.75,1.23528749900395,0.304846851620991,5.38076155745627,0.528078199008998,1,22,27,23,10,28,22,32,21
ENSSTUE00000439689,30.625,27.25,34,1.23499459696911,0.304504730115282,5.75198260747479,0.59936722558075,1,45,31,17,16,50,29,34,23
ENSSTUE00000061222,24.875,22,27.75,1.23496205536414,0.304466715187305,5.4835165248552,0.531088855686831,1,29,21,28,10,25,36,26,24
ENSSTUE00000569399,18.125,16.25,20,1.23493303737856,0.304432815687675,5.04594402776019,0.519539018950092,1,13,19,14,19,19,26,16,19
ENSSTUE00000550701,151.375,135.5,167.25,1.23487141480385,0.304360824091033,7.98603874521734,0.616661986035606,1,116,142,93,191,169,126,126,248
ENSSTUE00000149244,12,10.75,13.25,1.23480095614002,0.304278505184179,4.52149728562997,0.729947674895557,1,13,6,6,18,8,2,22,21
ENSSTUE00000203493,27.125,24.5,29.75,1.23462674308131,0.304074946832298,5.55898772198296,0.779322327626533,1,8,20,4,66,10,16,13,80
ENSSTUE00000474551,43.625,39,48.25,1.23457598073024,0.304015628420355,6.25059905945524,0.758218560033094,1,27,63,62,4,23,85,80,5
ENSSTUE00000314331,17.75,16,19.5,1.23447475919206,0.303897338578131,5.0243587174186,0.550306268973293,1,14,24,14,12,16,23,25,14
ENSSTUE00000354564,29.25,26.25,32.25,1.23444104051792,0.303857931998143,5.70481613929146,0.616910913887627,1,24,36,31,14,42,51,19,17
ENSSTUE00000477554,83.5,75,92,1.23443211363206,0.303847499081455,7.14381694659366,0.641292159933498,1,43,62,76,119,54,59,132,123
ENSSTUE00000311454,14,13,15,1.23441821141505,0.303831251308691,4.70938757424938,0.59466099027458,1,15,16,5,16,13,15,22,10
ENSSTUE00000612469,7.875,7,8.75,1.23435594249708,0.303758474251273,4.07902041539199,0.730377993389581,1,17,2,7,2,11,3,16,5
ENSSTUE00000047466,12.375,11.25,13.5,1.23433034059268,0.303728550853736,4.57117207114789,0.593503394941314,1,9,10,8,18,10,10,15,19
ENSSTUE00000584740,7.875,7,8.75,1.23426161969294,0.303648227087896,4.06130268863018,0.823409372057341,1,9,2,17,0,8,3,22,2
ENSSTUE00000467224,18.25,16.25,20.25,1.2342443004903,0.303627982998096,5.079151542056,0.610611871750934,1,25,12,7,21,27,19,19,16
ENSSTUE00000461662,28.375,25.25,31.5,1.23423636150843,0.303618703176751,5.64768324708107,0.607044013497633,1,27,17,43,14,20,25,46,35
ENSSTUE00000474030,9,8,10,1.23418576282389,0.303559557319521,4.21715729013451,0.65557594453652,1,7,13,8,4,12,19,6,3
ENSSTUE00000615153,15.75,13.75,17.75,1.23416128774162,0.303530947015459,4.8698379937515,0.687742585102302,1,10,32,9,4,6,24,18,23
ENSSTUE00000524152,10.25,9.25,11.25,1.23410137839493,0.303460913207007,4.36773871928472,0.639090722300976,1,15,5,13,4,14,17,11,3
ENSSTUE00000446961,24.375,22,26.75,1.23395171073845,0.30328593740361,5.44307987549491,0.618646716997875,1,11,32,16,29,20,34,17,36
ENSSTUE00000101010,18.75,16.75,20.75,1.23387312089245,0.303194049859833,5.09461453356438,0.609466889599691,1,19,17,6,25,14,29,14,26
ENSSTUE00000198468,17.625,15.75,19.5,1.2338222781805,0.30313460125168,5.03916524870887,0.69836422852453,1,15,31,9,8,12,47,14,5
ENSSTUE00000324010,75.75,67.75,83.75,1.2335081577297,0.302767256843769,6.99538699066162,0.841516881971449,1,0,78,20,173,4,115,21,195
ENSSTUE00000282025,71.125,63.75,78.5,1.23350653942663,0.302765364096372,6.92363317821404,0.781330697415411,1,119,99,12,25,90,168,53,3
ENSSTUE00000062160,10.125,9.5,10.75,1.23350624461601,0.302765019289225,4.33261163500196,0.669915461464629,1,8,5,7,18,9,11,16,7
ENSSTUE00000165314,75.375,67.5,83.25,1.23348625600062,0.302741640639889,7.00185692101845,0.836656366581795,1,78,155,0,37,102,195,3,33
ENSSTUE00000013936,24,21.25,26.75,1.2331977841615,0.302404202292003,5.42980870908502,0.609467557869894,1,29,17,33,6,29,28,31,19
ENSSTUE00000433120,11.25,10,12.5,1.23310790007591,0.302299044747731,4.4385999949596,0.63861829475307,1,5,15,8,12,8,6,12,24
ENSSTUE00000263854,13,11.75,14.25,1.23289578560496,0.302050856557356,4.64148959354396,0.599521405229703,1,17,9,9,12,20,9,19,9
ENSSTUE00000470094,12.875,11.5,14.25,1.23287314444119,0.302024362351608,4.629076508282,0.710903110659102,1,21,10,1,14,22,11,10,14
ENSSTUE00000329508,30.125,27,33.25,1.23275164675884,0.301882180049922,5.73958975382638,0.794114280994182,1,7,66,21,14,5,73,52,3
ENSSTUE00000525383,43.5,38.75,48.25,1.232741699962,0.301870539219906,6.23927129844334,0.632239756216401,1,33,67,30,25,29,80,56,28
ENSSTUE00000326030,11.375,10,12.75,1.23248268513553,0.301567378656269,4.47552810849779,0.552696285416921,1,17,7,10,6,14,10,18,9
ENSSTUE00000199412,8.875,8,9.75,1.23246401804473,0.301545527539335,4.19426223527283,0.691249395854223,1,14,9,5,4,11,17,8,3
ENSSTUE00000058671,9.5,8.25,10.75,1.23238410609148,0.301451981346715,4.27117262783207,0.566185900897706,1,9,7,15,2,13,7,11,12
ENSSTUE00000244958,35.25,31.5,39,1.23237573722112,0.301442184264215,5.94120133042649,0.726142791972573,1,18,77,15,16,18,93,22,23
ENSSTUE00000427495,13.875,12.75,15,1.23235037044359,0.301412488044396,4.72836112405434,0.634842299489179,1,12,6,14,19,16,13,22,9
ENSSTUE00000527516,9.75,8.5,11,1.23215222123981,0.301180498940191,4.32953335426856,0.597821699773024,1,11,12,9,2,8,17,12,7
ENSSTUE00000617984,11.875,10.75,13,1.23207765356557,0.301093186944701,4.5138859985832,0.497713297782887,1,11,10,8,14,13,12,13,14
ENSSTUE00000384591,15,13.75,16.25,1.23204261533015,0.301052158518341,4.81399754580532,0.587846020753083,1,14,19,6,16,20,13,18,14
ENSSTUE00000281690,12.125,10.75,13.5,1.2317685835649,0.300731237604784,4.5783979173035,0.551397170587007,1,11,12,16,4,10,14,20,10
ENSSTUE00000446037,43.5,39,48,1.2317660676386,0.300728290851509,6.23062762260586,0.578309491286692,1,40,34,26,56,41,44,39,68
ENSSTUE00000432769,73.5,65.75,81.25,1.23169308409242,0.300642806990249,6.95421321782481,0.714305585088823,1,38,82,26,117,30,73,41,181
ENSSTUE00000200779,20.25,18,22.5,1.23168937391856,0.30063846121811,5.21067091117651,0.593354428600855,1,22,28,16,6,21,32,20,17
ENSSTUE00000189830,16.5,14.75,18.25,1.23143998529828,0.30034631925194,4.93343362807974,0.710842188260798,1,25,10,10,14,38,11,3,21
ENSSTUE00000319634,11.625,10.5,12.75,1.23121885969883,0.300087236019809,4.4783578799228,0.668681011811831,1,11,8,5,18,8,5,15,23
ENSSTUE00000525951,12.75,11.25,14.25,1.23120740428482,0.300073812942564,4.6103506295869,0.781499571251422,1,6,34,5,0,13,25,9,10
ENSSTUE00000050205,21.75,19.75,23.75,1.23113420241716,0.299988034453341,5.27698625397302,0.74897127238185,1,5,9,14,51,11,14,20,50
ENSSTUE00000589032,92.5,83,102,1.23100106697152,0.299832012280421,7.2927825751646,0.655672607233583,1,131,104,31,66,125,133,98,52
ENSSTUE00000470997,24.75,22.25,27.25,1.23095936907498,0.299783142812266,5.47670503006611,0.623767349453095,1,24,31,22,12,33,40,24,12
ENSSTUE00000561911,41.875,37.75,46,1.23090090393852,0.299714619538728,6.17753008704203,0.62551528335355,1,44,17,39,51,58,25,58,43
ENSSTUE00000134841,11.75,10.75,12.75,1.23085845909741,0.29966487059681,4.51868529643489,0.754182004567031,1,8,26,3,6,8,28,12,3
ENSSTUE00000311202,16.125,14.5,17.75,1.23081403796613,0.299612803438487,4.91940628780677,0.606300308408504,1,24,12,10,12,22,17,22,10
ENSSTUE00000541083,16.875,15,18.75,1.23079268744971,0.299587777276633,4.98588665703995,0.711673997193504,1,33,3,18,6,27,11,28,9
ENSSTUE00000198443,8.75,7.75,9.75,1.2307190075266,0.299501409488958,4.20475611474321,0.886400273776482,1,0,13,18,0,0,11,28,0
ENSSTUE00000119121,31.125,28,34.25,1.23069547423108,0.299473822612397,5.78947436009975,0.824928778418881,1,47,59,4,2,62,61,14,0
ENSSTUE00000074855,43.25,38.5,48,1.23068874536679,0.299465934612578,6.23050788229832,0.583716785812259,1,31,47,51,25,33,75,42,42
ENSSTUE00000176505,10.75,10,11.5,1.23067811493605,0.299453472862184,4.4121238641593,0.657711951153322,1,10,9,7,14,13,16,12,5
ENSSTUE00000462439,31.875,28.5,35.25,1.23063994205954,0.299408723001852,5.81807896256099,0.814153736572462,1,18,89,7,0,15,97,22,7
ENSSTUE00000538924,13.25,11.75,14.75,1.23061575421383,0.299380367000401,4.6873397339215,0.882454248201318,1,36,11,0,0,37,22,0,0
ENSSTUE00000038211,7.75,7,8.5,1.23060734977607,0.29937051414256,4.02848835266085,0.728186172803248,1,8,3,7,10,10,1,14,9
ENSSTUE00000412806,13,11.5,14.5,1.23056173529924,0.299317037297004,4.6371950407679,0.58000290400634,1,8,7,19,12,7,17,18,16
ENSSTUE00000567599,11.25,10,12.5,1.23051819493864,0.299265990224901,4.46291243321921,0.553754623463007,1,9,10,11,10,4,19,13,14
ENSSTUE00000561679,16.875,15,18.75,1.23051714925684,0.299264764236866,4.94670717983117,0.529221843601192,1,11,23,16,10,18,24,14,19
ENSSTUE00000305441,19.375,17.25,21.5,1.23046415885009,0.299202635364288,5.15444255472713,0.591818603780356,1,26,22,15,6,25,14,23,24
ENSSTUE00000584064,18.5,16.5,20.5,1.23023034881431,0.298928471644173,5.04547032586821,0.855202936084445,1,2,1,7,56,0,14,9,59
ENSSTUE00000470930,15.25,13.5,17,1.23006023735355,0.298728967599726,4.8420051731545,0.597919574011465,1,12,15,21,6,26,9,12,21
ENSSTUE00000297368,14.25,12.5,16,1.23000648914898,0.298665926815211,4.72950150667723,0.604590039153167,1,10,6,20,14,9,23,9,23
ENSSTUE00000472189,41.375,37.25,45.5,1.22982200572627,0.298449526915689,6.14868265611805,0.748363196465656,1,21,21,6,101,20,37,31,94
ENSSTUE00000198914,29.5,26.5,32.5,1.22979024186034,0.298412264479787,5.68292898804308,0.677632603080471,1,11,20,22,53,15,31,21,63
ENSSTUE00000327144,14.125,13,15.25,1.22972414239947,0.298334719607483,4.75387764949231,0.696422053434944,1,17,21,6,8,26,17,15,3
ENSSTUE00000547982,152.875,137.25,168.5,1.22972334065531,0.298333779012229,7.99986467515017,0.711664541446005,1,199,107,50,193,354,84,64,172
ENSSTUE00000234264,14,12.25,15.75,1.22956418624161,0.298147049090501,4.76032196777359,0.692679261990376,1,18,11,20,0,20,11,16,16
ENSSTUE00000216207,12.25,11,13.5,1.22952695491879,0.298103363483321,4.57132541197247,0.565224677255209,1,15,7,12,10,12,16,19,7
ENSSTUE00000603469,12.875,11.25,14.5,1.2293373110524,0.297880823126051,4.64341465878359,0.699142347790405,1,19,6,18,2,22,5,22,9
ENSSTUE00000049100,29,26,32,1.22932611395156,0.297867682651684,5.70301760056756,0.898190206441963,1,83,21,0,0,115,13,0,0
ENSSTUE00000012477,8.75,7.75,9.75,1.22928884471311,0.297823944086348,4.19697373478568,0.644554285529857,1,12,6,9,4,14,13,7,5
ENSSTUE00000389862,150,134.5,165.5,1.22923473342408,0.29776043760706,7.97064494824429,0.678892473290233,1,76,159,106,197,95,122,98,347
ENSSTUE00000410799,13,11.75,14.25,1.2290688190538,0.297565698564892,4.64341571107041,0.756018692864751,1,21,19,5,2,15,24,16,2
ENSSTUE00000082965,20.5,18.25,22.75,1.2288882597993,0.297353740476805,5.21825083199309,0.603310536836779,1,14,8,28,23,19,17,25,30
ENSSTUE00000191156,11.375,10.25,12.5,1.22872046063325,0.297156733505691,4.4217616447124,0.890685479271859,1,0,18,0,23,5,12,0,33
ENSSTUE00000587109,15.75,14,17.5,1.2287063394113,0.297140153059116,4.8853134169005,0.644199087185789,1,21,13,10,12,30,9,22,9
ENSSTUE00000078710,17.125,15.5,18.75,1.22869400697586,0.297125672762098,4.98449455169456,0.716522009616916,1,5,23,11,23,8,37,14,16
ENSSTUE00000251619,10.625,9.75,11.5,1.22865733549211,0.297082613581395,4.39774760364782,0.752407153864834,1,12,15,6,6,20,12,14,0
ENSSTUE00000114156,28.125,24.75,31.5,1.2284553997571,0.296845480233832,5.63199889964789,0.553240799900191,1,29,33,19,18,24,31,24,47
ENSSTUE00000491801,52.375,47,57.75,1.22840881012483,0.296790764445167,6.49639945810096,0.718488528827083,1,26,43,107,12,49,53,108,21
ENSSTUE00000008801,7.125,6.25,8,1.22824499204084,0.296598356758318,3.96548560885691,0.58596654967652,1,11,3,7,4,11,7,9,5
ENSSTUE00000498060,30.125,27,33.25,1.2282278819625,0.296578259141581,5.73237310207862,0.528287599985275,1,26,22,33,27,30,33,37,33
ENSSTUE00000154607,20.125,18,22.25,1.22820300547125,0.296549038542913,5.19530723127943,0.608654600778623,1,12,12,25,23,15,34,17,23
ENSSTUE00000111245,8.875,8,9.75,1.22817145334757,0.296511975714646,4.19797843134006,0.613956924923292,1,7,13,6,6,10,13,11,5
ENSSTUE00000490190,31.875,28.5,35.25,1.22816089871403,0.29649957745962,5.79703885378752,0.649986614820497,1,22,28,19,45,14,35,29,63
ENSSTUE00000544515,99.625,89.25,110,1.22814168708777,0.296477009785676,7.39805342243794,0.725935555139658,1,90,141,105,21,93,250,67,30
ENSSTUE00000398265,109.25,98,120.5,1.2281078952534,0.296437314054246,7.52700875386483,0.911564880671259,1,0,383,7,2,0,459,23,0
ENSSTUE00000359017,11.125,10,12.25,1.22806857975806,0.296391128227827,4.40821369791054,0.815617580924861,1,2,2,9,27,3,3,10,33
ENSSTUE00000422790,24,21.5,26.5,1.22797516995609,0.296281389255825,5.43693377368688,0.629435490948574,1,28,28,9,21,20,26,41,19
ENSSTUE00000574622,30.5,27.25,33.75,1.22777041083107,0.296040806536484,5.75886321474121,0.643413252603359,1,40,31,30,8,47,27,45,16
ENSSTUE00000546812,26.5,23.75,29.25,1.22774266483942,0.296008203163317,5.55736767330372,0.558529553956351,1,26,19,34,16,31,25,38,23
ENSSTUE00000350279,18.375,16.5,20.25,1.22774093371168,0.296006168949439,5.08662468331637,0.623128856617022,1,19,25,14,8,15,38,16,12
ENSSTUE00000469251,7.5,6.75,8.25,1.22773438458648,0.295998473176342,4.01761921893044,0.886820991173717,1,0,12,15,0,0,13,20,0
ENSSTUE00000500430,19.875,17.75,22,1.22763726042298,0.295884339294088,5.18974607782312,0.594573228005275,1,25,11,23,12,29,24,25,10
ENSSTUE00000335100,10.375,9,11.75,1.22760188640689,0.295842767850701,4.3763936032951,0.652349448174395,1,12,9,15,0,7,17,9,14
ENSSTUE00000407076,8.75,8,9.5,1.22719713134061,0.29536701555655,4.19637391538059,0.619814553178783,1,9,9,8,6,10,10,15,3
ENSSTUE00000193438,14.125,12.75,15.5,1.22691718459106,0.29503787213694,4.74883300766505,0.892036418397169,1,0,24,27,0,0,54,8,0
ENSSTUE00000430342,61.875,55.5,68.25,1.22680479226241,0.294905707322162,6.72503282809158,0.713642496115714,1,47,115,44,16,82,131,37,23
ENSSTUE00000093411,14.125,12.75,15.5,1.2266500100058,0.294723675361252,4.72998733222448,0.522561412993488,1,14,15,10,12,15,22,11,14
ENSSTUE00000041433,19.625,17.5,21.75,1.22663397758266,0.294704819087399,5.16829366464022,0.542490737308515,1,21,11,24,14,28,19,24,16
ENSSTUE00000000519,10.125,9.5,10.75,1.22662926889488,0.294699280993992,4.32949027422586,0.676267642948727,1,9,15,4,10,11,12,15,5
ENSSTUE00000215187,12.75,11.25,14.25,1.22650737327925,0.294555906835946,4.62337894776763,0.506285043090573,1,15,10,10,10,17,14,12,14
ENSSTUE00000382937,61.125,55,67.25,1.22646558966419,0.294506757485212,6.70618064589144,0.615977163457669,1,74,55,40,51,86,73,80,30
ENSSTUE00000121369,37.25,33.5,41,1.22635954912431,0.294382016297021,6.02118485029755,0.588676579435553,1,37,39,19,39,47,52,35,30
ENSSTUE00000364571,129.125,116,142.25,1.22616464645941,0.294152713679579,7.76400993542834,0.640150611009048,1,133,152,105,74,153,184,166,66
ENSSTUE00000515184,13.25,12,14.5,1.22605841982186,0.294027722894359,4.65365878949616,0.648488405523959,1,11,6,12,19,9,7,19,23
ENSSTUE00000229873,15.5,14,17,1.22602019304006,0.293982740985337,4.85768649725292,0.587030579283879,1,12,9,17,18,20,22,14,12
ENSSTUE00000014412,67.75,60.75,74.75,1.22601460584857,0.293976166353146,6.85233655925282,0.623928796791246,1,89,70,55,29,97,85,75,42
ENSSTUE00000001133,37.75,33.75,41.75,1.22597400057551,0.293928383891255,6.03556963685389,0.638521597939685,1,16,54,28,37,23,52,31,61
ENSSTUE00000170174,8.625,7.75,9.5,1.22576148015071,0.293678273578676,4.17805411467493,0.713451001877419,1,9,7,13,2,9,10,17,2
ENSSTUE00000183685,9.75,8.5,11,1.22574579294564,0.293659809955741,4.30323764260453,0.633606364738905,1,19,9,4,2,12,11,11,10
ENSSTUE00000595050,9.375,8.25,10.5,1.22544206667213,0.293302281756419,4.26482489331339,0.585425499087672,1,14,9,6,4,9,13,13,7
