name,baseMean,baseMeanControl,baseMeanMetal,foldChange,logFC,logCPM,PValue,FDR,control_gill,control_intestine,control_kidney,control_liver,metal_gill,metal_intestine,metal_kidney,metal_liver
ENSSTUE00000132622,24.625,11.5,37.75,3.26185898262208,1.70569441250061,5.42994957692108,0.395300569300484,1,1,22,0,23,0,68,1,82
ENSSTUE00000098313,33.375,15.5,51.25,3.25940403176871,1.70460819788812,5.85945744578143,0.039898690814577,1,7,24,25,6,14,64,23,104
ENSSTUE00000175153,23.375,11,35.75,3.25557942554402,1.70291433600689,5.41246503360719,0.173834802540258,1,9,1,28,6,30,1,103,9
ENSSTUE00000073111,23.625,11,36.25,3.24001817319926,1.69600190518117,5.42584149007399,0.242458235325254,1,11,3,26,4,124,0,18,3
ENSSTUE00000303908,22.75,10.75,34.75,3.21911510183251,1.68666416236209,5.37257520005631,0.414570996641482,1,0,20,23,0,0,49,90,0
ENSSTUE00000539632,85.625,41,130.25,3.18037362753906,1.66919626202978,7.16512693840899,0.245593359842719,1,9,18,36,101,6,34,5,476
ENSSTUE00000358647,18.25,8.75,27.75,3.16137330104489,1.66055140150875,5.06009129489801,0.0319676967369289,1,8,9,6,12,4,48,16,43
ENSSTUE00000015950,8.375,3.75,13,3.13961072458936,1.65058569270947,4.14736465319747,0.0856779718803218,1,8,6,1,0,24,12,14,2
ENSSTUE00000366723,32.125,15.75,48.5,3.13039248165761,1.64634355039853,5.79179905426667,0.229620882279058,1,2,23,3,35,1,63,12,118
ENSSTUE00000448161,8.25,3.75,12.75,3.12813415148278,1.6453023846174,4.10531598666919,0.0108757016192543,1,8,5,2,0,16,17,9,9
ENSSTUE00000549222,28.875,14,43.75,3.11735148691931,1.64032083056379,5.65851418553637,0.108781728580727,1,9,23,3,21,10,17,16,132
ENSSTUE00000132630,31.75,15.5,48,3.08238296098688,1.62404611610112,5.78185956401735,0.328616151516626,1,2,32,1,27,1,108,1,82
ENSSTUE00000567284,20.875,10,31.75,3.08237127538638,1.62404064669967,5.2771981320425,0.267260044884201,1,6,5,29,0,15,10,102,0
ENSSTUE00000301751,41.125,20.25,62,3.03546469012223,1.60191739121474,6.13959751755436,0.161072233268186,1,9,12,19,41,8,11,15,214
ENSSTUE00000251451,42.75,21.5,64,3.01854356717431,1.59385262397413,6.19218127719424,0.0806315841760751,1,15,19,7,45,27,53,16,160
ENSSTUE00000597962,11.875,5.5,18.25,3.01569599811643,1.59249100283898,4.53646935654232,0.00961461035396527,1,7,5,10,0,24,10,20,19
ENSSTUE00000266607,28.25,14,42.5,2.99103194874926,1.58064332070667,5.62169490814051,0.165792167346127,1,8,24,3,21,15,22,3,130
ENSSTUE00000427607,18.25,9,27.5,2.98643645398275,1.57842502414042,5.06222751438046,0.138385592264293,1,3,13,14,6,2,4,54,50
ENSSTUE00000304797,14.5,7,22,2.98258627895713,1.57656387217807,4.80356913662624,0.419024396341119,1,0,11,17,0,0,24,64,0
ENSSTUE00000046682,18,8.75,27.25,2.96046020127718,1.56582145912923,5.02876038705396,0.0936928193546691,1,12,4,17,2,13,4,21,71
ENSSTUE00000327683,21.75,11,32.5,2.95919196945212,1.56520329044636,5.29836375936918,0.0205883032266261,1,18,18,2,6,35,42,29,24
ENSSTUE00000251375,49,25,73,2.94603713267969,1.55877561462197,6.38964359183706,0.0726783254056935,1,18,29,6,47,30,67,27,168
ENSSTUE00000500142,106.625,54,159.25,2.94414468073595,1.55784856984992,7.49267756435056,0.251101780587666,1,8,12,112,84,7,16,525,89
ENSSTUE00000375023,11.625,6,17.25,2.90152316733517,1.53681044819719,4.47669662628523,0.0309662240868002,1,6,6,2,10,10,15,9,35
ENSSTUE00000525814,10.75,5.25,16.25,2.88490301571627,1.52852281935705,4.43049051953121,0.119485024864757,1,9,11,1,0,16,30,16,3
ENSSTUE00000154497,28.75,15,42.5,2.82030767985067,1.49585256119889,5.65836980886691,0.0593779368588649,1,14,11,6,29,22,27,19,102
ENSSTUE00000366901,68.75,36,101.5,2.81274576423151,1.49197915760881,6.85934216541913,0.311119025701829,1,2,39,6,97,4,100,8,294
ENSSTUE00000597302,16.125,8.5,23.75,2.81159363278527,1.49138809287041,4.88132975635852,0.105866313100744,1,3,9,3,19,8,31,9,47
ENSSTUE00000361122,37.875,20,55.75,2.79807142323249,1.48443278903168,6.03043810448214,0.235071144998226,1,1,38,4,37,5,108,23,87
ENSSTUE00000524903,44.375,23,65.75,2.79247307623327,1.48154337096034,6.27468943473627,0.323257099899671,1,11,7,74,0,19,25,217,2
ENSSTUE00000481630,26.75,14,39.5,2.79127283875198,1.48092315051507,5.57832577263932,0.0485286012507914,1,8,24,20,4,16,73,45,24
ENSSTUE00000076886,31.25,16.5,46,2.79021818509589,1.48037794006464,5.78228097718381,0.025162587434823,1,25,15,7,19,33,19,76,56
ENSSTUE00000078529,8.375,4.25,12.5,2.77656342535467,1.47330035195325,4.13413031119982,0.0130478533843274,1,3,4,8,2,9,18,16,7
ENSSTUE00000251336,24.375,13.25,35.5,2.76188732050816,1.46565446171756,5.42331740599757,0.0920500479725165,1,7,7,6,33,23,30,13,76
ENSSTUE00000303514,41.125,21.75,60.5,2.75028327347956,1.45958022089075,6.17043232658529,0.521106448614495,1,0,34,53,0,0,79,163,0
ENSSTUE00000354033,13.875,7.25,20.5,2.74156898904153,1.45500177817449,4.75654146992182,0.160991013723645,1,16,2,9,2,14,5,60,3
ENSSTUE00000267789,44.25,23.75,64.75,2.73704672177697,1.45262006192268,6.23616939141868,0.226518117538779,1,5,32,3,55,10,47,14,188
ENSSTUE00000458054,12.75,6.5,19,2.70494365282714,1.4355985413225,4.6084346274052,0.0161524832483911,1,3,12,7,4,14,25,11,26
ENSSTUE00000608018,13.75,7.25,20.25,2.69749457703261,1.43162005936259,4.68016908662871,0.0332594518051767,1,7,5,7,10,8,22,11,40
ENSSTUE00000509378,18,10,26,2.69303629698316,1.42923367474293,5.05282787218033,0.0599326659626363,1,16,5,1,18,32,17,24,31
ENSSTUE00000143099,9.25,5.25,13.25,2.68131231755416,1.42293927330927,4.22567707847923,0.114799158778299,1,8,0,1,12,17,13,13,10
ENSSTUE00000144233,39.25,21.5,57,2.66657193752718,1.41498624889613,6.0817091030566,0.0483028811290883,1,15,27,15,29,32,78,17,101
ENSSTUE00000226416,30.75,16.5,45,2.66213947855161,1.41258616093545,5.78001593226214,0.291406129581219,1,46,12,8,0,141,15,22,2
ENSSTUE00000626355,34,18.5,49.5,2.64141741412115,1.40131230366259,5.90137519895507,0.0468628024575389,1,16,6,29,23,26,32,98,42
ENSSTUE00000094902,31,17.25,44.75,2.63601696581528,1.39835965578557,5.76579153582013,0.0271440931459778,1,11,22,9,27,30,53,27,69
ENSSTUE00000022424,13.125,7,19.25,2.63257908382285,1.39647687108966,4.63691605623379,0.0291998239823118,1,5,12,5,6,9,30,10,28
ENSSTUE00000373569,35.625,19.5,51.75,2.63073144975952,1.39546398287301,5.96814550263419,0.0241593727449911,1,22,25,17,14,62,82,46,17
ENSSTUE00000537703,17.25,9.5,25,2.62499858753894,1.39231664649262,4.99305048673168,0.0181284544089212,1,7,10,9,12,19,11,25,45
ENSSTUE00000524041,63.375,35.25,91.5,2.62262158092655,1.39100965559911,6.74329176469979,0.318424842475169,1,2,42,4,93,4,123,24,215
ENSSTUE00000478023,33,18.5,47.5,2.6129568244315,1.38568328627555,5.8642149216812,0.0253561993000731,1,21,17,20,16,53,37,83,17
